Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
French Guiana,Americas,29950,10027.39,665,222.64,136,184,61.6,15,5.02,5
Fiji,Western Pacific,26196,2922.21,5753,641.76,1057,218,24.32,72,8.03,12
Syrian Arab Republic,Eastern Mediterranean,25930,148.17,81,0.46,19,1911,10.92,6,0.03,2
Gabon,Africa,25370,1139.85,61,2.74,26,163,7.32,0,0,0
Guinea,Africa,25293,192.59,483,3.68,239,208,1.58,13,0.1,6
Suriname,Americas,25028,4266.39,593,101.09,125,638,108.76,18,3.07,4
Mauritania,Africa,24662,530.4,1569,33.74,313,547,11.76,31,0.67,5
Eswatini,Africa,24247,2089.96,2511,216.43,539,770,66.37,40,3.45,5
Guyana,Americas,22234,2826.77,566,71.96,53,530,67.38,16,2.03,0
Haiti,Americas,20077,176.07,260,2.28,0,545,4.78,18,0.16,0
French Polynesia,Western Pacific,19636,6990.19,441,156.99,142,147,52.33,3,1.07,0
Mayotte,Africa,19474,7138.17,14,5.13,0,174,63.78,0,0,0
Guadeloupe,Americas,18313,4576.83,331,82.72,0,280,69.98,2,0.5,0
Papua New Guinea,Western Pacific,17686,197.67,162,1.81,16,192,2.15,0,0,0
Seychelles,Africa,17541,17835.83,0,0,0,79,80.33,0,0,0
Martinique,Americas,17215,4587.42,2251,599.84,0,104,27.71,2,0.53,0
Togo,Africa,15393,185.93,592,7.15,101,150,1.81,10,0.12,2
Somalia,Eastern Mediterranean,15323,96.41,161,1.01,29,804,5.06,23,0.14,6
Tajikistan,Europe,15245,159.84,484,5.07,81,120,1.26,3,0.03,0
Andorra,Europe,14630,18934.83,251,324.86,44,127,164.37,0,0,0
Mali,Africa,14564,71.92,39,0.19,12,531,2.62,1,0,0
Bahamas,Americas,14457,3676.34,676,171.9,130,286,72.73,12,3.05,2
Belize,Americas,13983,3516.6,167,42,0,333,83.75,1,0.25,0
Burkina Faso,Africa,13560,64.87,23,0.11,4,169,0.81,0,0,0
Curaçao,Americas,13378,8152.69,495,301.66,78,126,76.79,0,0,0
Congo,Africa,13156,238.42,39,0.71,0,177,3.21,1,0.02,0
Lesotho,Africa,12887,601.56,257,12,0,363,16.94,14,0.65,0
Djibouti,Eastern Mediterranean,11647,1178.85,19,1.92,7,155,15.69,0,0,0
Aruba,Americas,11460,10733.75,204,191.07,55,109,102.09,0,0,0
South Sudan,Africa,11014,98.39,97,0.87,0,118,1.05,1,0.01,0
Timor-Leste,South-East Asia,10695,811.18,468,35.5,160,26,1.97,0,0,0
Equatorial Guinea,Africa,8880,632.94,32,2.28,0,123,8.77,0,0,0
Benin,Africa,8394,69.24,150,1.24,70,108,0.89,1,0.01,1
Guam,Western Pacific,8252,4889.35,35,20.74,7,143,84.73,0,0,0
Jersey,Europe,7986,7408.44,1124,1042.71,127,69,64.01,0,0,0
Gambia,Africa,7709,318.99,548,22.68,0,212,8.77,15,0.62,0
Nicaragua,Americas,7592,114.6,279,4.21,0,195,2.94,1,0.02,0
Iceland,Europe,7545,2072.04,578,158.73,0,30,8.24,0,0,0
Central African Republic,Africa,7151,148.06,4,0.08,3,98,2.03,0,0,0
Yemen,Eastern Mediterranean,7027,23.56,30,0.1,5,1374,4.61,3,0.01,0
Burundi,Africa,6865,57.73,847,7.12,150,9,0.08,1,0.01,0
Eritrea,Africa,6539,184.38,66,1.86,22,34,0.96,2,0.06,1
Sierra Leone,Africa,6250,78.35,49,0.61,3,119,1.49,3,0.04,0
Niger,Africa,5607,23.16,13,0.05,3,195,0.81,1,0,0
Saint Lucia,Americas,5537,3015.35,53,28.86,8,88,47.92,1,0.54,0
Lao People's Democratic Republic,Western Pacific,5434,74.69,1571,21.59,280,6,0.08,1,0.01,1
Liberia,Africa,5404,106.85,0,0,0,148,2.93,0,0,0
San Marino,Europe,5133,15124.64,26,76.61,0,90,265.19,0,0,0
Chad,Africa,4972,30.27,7,0.04,1,174,1.06,0,0,0
Gibraltar,Europe,4857,14416.31,186,552.08,35,94,279.01,0,0,0
United States Virgin Islands,Americas,4450,4261.43,201,192.48,47,36,34.47,3,2.87,1
Barbados,Americas,4359,1516.83,67,23.31,6,48,16.7,0,0,0
Guinea-Bissau,Africa,4334,220.22,226,11.48,52,74,3.76,0,0,0
Isle of Man,Europe,4268,5019.29,1629,1915.75,37,29,34.1,0,0,0
Comoros,Africa,4024,462.74,13,1.49,0,147,16.9,0,0,0
Mauritius,Africa,3913,307.68,732,57.56,0,19,1.49,0,0,0
Liechtenstein,Europe,3186,8222.57,14,36.13,1,58,149.69,0,0,0
Monaco,Europe,2833,7218.94,105,267.56,19,33,84.09,0,0,0
Sint Maarten,Americas,2729,6363.98,42,97.94,6,34,79.29,0,0,0
Saint Martin,Americas,2579,6671.15,56,144.86,0,30,77.6,0,0,0
Bermuda,Americas,2553,4099.69,18,28.9,15,33,52.99,0,0,0
New Zealand,Western Pacific,2511,52.07,32,0.66,5,26,0.54,0,0,0
Bhutan,South-East Asia,2506,324.78,48,6.22,5,2,0.26,0,0,0
Turks and Caicos Islands,Americas,2473,6387.21,15,38.74,7,18,46.49,0,0,0
Sao Tome and Principe,Africa,2432,1109.7,15,6.84,8,37,16.88,0,0,0
British Virgin Islands,Americas,2389,7900.92,179,591.99,0,25,82.68,2,6.61,0
Saint Vincent and the Grenadines,Americas,2288,2062.38,25,22.53,8,12,10.82,0,0,0
Bonaire,Americas,1670,7984.7,11,52.59,4,17,81.28,0,0,0
Antigua and Barbuda,Americas,1288,1315.24,13,13.27,0,43,43.91,1,1.02,0
Saint Barthélemy,Americas,1065,10773.9,8,80.93,0,1,10.12,0,0,0
United Republic of Tanzania,Africa,1017,1.7,508,0.85,408,21,0.04,0,0,0
Faroe Islands,Europe,980,2005.53,22,45.02,1,1,2.05,0,0,0
Guernsey,Europe,941,1459.64,37,57.39,1,17,26.37,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,640,973.83,13,19.78,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,578,1086.63,21,39.48,5,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,333,76.12,24,5.49,0,3,0.69,0,0,0
Dominica,Americas,210,291.7,4,5.56,1,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,190,330.11,2,3.47,0,2,3.47,0,0,0
Grenada,Americas,168,149.3,3,2.67,3,1,0.89,0,0,0
New Caledonia,Western Pacific,133,46.59,2,0.7,0,0,0,0,0,0
Anguilla,Americas,113,753.23,0,0,0,0,0,0,0,0
Greenland,Europe,110,193.76,26,45.8,1,0,0,0,0,0
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,1,17.26,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
